incident_id,category,event_count,threat_level,rank_1,rank_2,rank_3,rank_4,gpt_4o_score,gpt_4o_mini_score,qwen25_score,qwen25_3b_score,gpt_4o_position,gpt_4o_mini_position,qwen25_position,qwen25_3b_position
01107792-aa05-4665-861b-d406e4f7cdf8,Malware,2957,15.400000000000004,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,8,6,4,2,1,2,3,4
0223d72b-7552-4405-8ad3-630f42b3ed12,Malware,106,15.1,Qwen2.5 3b,GPT-4o-mini,Qwen2.5,GPT-4o,1,5,3,7,4,2,3,1
02b0aa7f-b03b-4e2e-aa48-e1350f245265,Malware,508,15.000000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,6,2,3,1,2,4,3
033d4d42-2666-415f-808c-df91ec654790,Malware,5405,15.440000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,8,7,1,3,1,2,4,3
03e374fa-0e02-46fe-93b3-28cf6678b115,Malware,2090,15.560000000000004,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,7,2,4,2,1,4,3
052c8f53-38c2-4f1e-9e7e-ac893f80944b,Malware,143,15.4,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,GPT-4o,1,7,5,4,4,1,2,3
052cc5ea-4f3e-4023-8bbb-bb1aafa05b61,Malware,4587,15.400000000000006,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,7,6,3,2,1,2,3,4
05d18eb8-03ab-498c-8900-9998f84f4bf5,Malware,32,15.35,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,4,2,1,4,3
05d41bc8-f429-41ae-a45f-334de54e2ed0,Malware,122,15.350000000000001,Qwen2.5,GPT-4o-mini,GPT-4o,Qwen2.5 3b,5,6,7,4,3,2,1,4
06598746-f11e-454e-8d96-91b1ee2a85e1,Malware,3427,15.320000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,9,8,2,4,1,2,4,3
077a680a-e994-41ef-82dc-713041e89c1f,Malware,110,15.350000000000001,Qwen2.5 3b,GPT-4o-mini,GPT-4o,Qwen2.5,4,5,3,7,3,2,4,1
083a889a-f764-4c12-8143-e10edcb12834,Malware,131,15.100000000000001,Qwen2.5 3b,GPT-4o-mini,Qwen2.5,GPT-4o,1,4,3,5,4,2,3,1
083bbd14-3eb6-4af6-98a6-c30c2145d7a9,Malware,45,15.100000000000001,GPT-4o,Qwen2.5 3b,GPT-4o-mini,Qwen2.5,6,4,3,5,1,3,4,2
0862e668-7119-41d9-ba39-5034b49af9ec,Malware,1417,15.080000000000005,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,6,5,2,4,1,2,4,3
087b7101-f6b7-4d60-b182-c7f1134b8f4e,Malware,98,15.100000000000001,GPT-4o-mini,Qwen2.5 3b,GPT-4o,Qwen2.5,5,7,2,6,3,1,4,2
0987f97f-282d-4303-a8e7-f6f7b4e06ce5,Malware,77,15.100000000000001,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,7,6,3,8,2,3,4,1
0a0f6d7e-15c7-4cdc-8798-bb5526910a98,Malware,1873,15.0,Qwen2.5 3b,GPT-4o,GPT-4o-mini,Qwen2.5,5,4,2,7,2,3,4,1
0a632785-8806-40c9-b3dd-e3fd121dd3c2,Malware,48,15.1,Qwen2.5 3b,GPT-4o-mini,GPT-4o,Qwen2.5,5,6,3,7,3,2,4,1
0bdb1e39-ea3c-442f-9bf7-80f880a5380a,Malware,1119,15.320000000000006,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,7,6,4,3,1,2,3,4
0bf23f56-8efb-4446-9ddf-c4bc7f199605,Malware,121,15.35,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,2,8,4,6,4,1,3,2
0c523b63-e2bf-472f-9635-dc970673ada6,Malware,2859,15.720000000000006,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,7,3,5,4,1,3,2
0e4928b6-26ed-4b84-857d-4dc4b4419bf8,Malware,122,15.100000000000001,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,8,7,5,3,1,2,3,4
0e7511c8-4565-4f54-aa04-68daf53d6aff,Malware,3757,15.000000000000004,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,2,4,2,1,4,3
0f856edc-2848-414a-9415-30529b210d83,Malware,661,15.400000000000006,GPT-4o,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,7,6,3,5,1,2,4,3
0f920d94-d22b-404a-aca1-0d27495bd10a,Malware,66,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,7,8,3,5,2,1,4,3
10f0ac55-4634-4d81-ae57-8683cbf97ceb,Malware,6246,15.280000000000005,GPT-4o,GPT-4o-mini,Qwen2.5,Qwen2.5 3b,8,7,3,2,1,2,3,4
1109b519-b94d-4833-afa1-2bfe0cfdddb3,Malware,3696,15.000000000000004,GPT-4o-mini,Qwen2.5 3b,Qwen2.5,GPT-4o,1,7,3,6,4,1,3,2
11f7ab24-7da5-461f-a313-344e58898652,Malware,107,15.100000000000001,GPT-4o-mini,GPT-4o,Qwen2.5 3b,Qwen2.5,6,8,3,4,2,1,4,3
12e04c45-ac5c-4845-a7f8-4204f82d39d9,Malware,114,15.100000000000001,GPT-4o-mini,Qwen2.5 3b,GPT-4o,Qwen2.5,4,7,2,5,3,1,4,2
